"","ResponseId","variable","value"
"311","R_26rhaTxhqgTGvjr","email",1
"312","R_3eq9yf1mL6XY3w6","email",1
"313","R_sZLJ48DqHZrl9kJ","email",1
"314","R_Oj8CSPcOn3QKZtD","email",1
"315","R_27PD6QcIIuhoklU","email",1
"316","R_3j07DoZzRrNFfU9","email",0
"317","R_3KISBvACOeRn0Yk","email",1
"318","R_A7myoFOuBy1e9r3","email",1
"319","R_3PvllMlguAlkQTX","email",1
"320","R_31Wye3iSGTGIMVI","email",0
"321","R_xbjpjdpF5Bb8LND","email",1
"322","R_1l4xOkC08uP82Yj","email",0
"323","R_2YJnYeaQbKIA3Xf","email",0
"324","R_30l8GXXe643f6VR","email",1
"325","R_12RuEHmJuRAiI1f","email",1
"326","R_2EoyFEdGZiiiewX","email",1
"327","R_21udBl9leEgYvB8","email",1
"328","R_3g71JMXXwft3ZGy","email",1
"329","R_2wsibzWUKK0XDaK","email",1
"330","R_PMuAh1NtrALIhEd","email",1
"331","R_Bt6CJCnO6o2uDoR","email",1
"332","R_1YXbjjKp2mdlM0F","email",1
"333","R_bw5VETE789cN3I5","email",1
"334","R_12ijIiieoxUfBkc","email",1
"335","R_1eG1zvHVDUudCJG","email",1
"336","R_1Os0zbpvU5P36TU","email",1
"337","R_1BW8rt80aFRcuI0","email",0
"338","R_1r36USBz847yWQB","email",1
"339","R_eldVqg22w8Ck6TD","email",1
"340","R_5drrJ8DzGH43N7j","email",0
"341","R_1kYv7u4Q2Ubrqv5","email",1
"342","R_0Mncfj7e6vW02NH","email",1
"343","R_3DiuE4UVpcjyMHV","email",1
"344","R_3y3zmDciaqjVz4B","email",1
"345","R_1jJTR4wNg7YVLU8","email",1
"346","R_3FPtyw4w79pD6Hf","email",1
"347","R_8Jlv9rnqFuovBnz","email",1
"348","R_2dSWDf5thqwCQTn","email",0
"349","R_1EgJPhKacNEFxQA","email",1
"350","R_3Hv52OlstB5QNnt","email",1
"351","R_3J43aO0pzWFKH1Z","email",0
"352","R_2XcD1S7kRYsjMeP","email",1
"353","R_27yzixhu1m96yUt","email",1
"354","R_1pFgdgYZIi2ZgsG","email",1
"355","R_3hbdx2OqSK4tsrk","email",1
"356","R_2TtnYG7drNcxtQN","email",1
"357","R_2viGHZTlphJAQmS","email",1
"358","R_2Xh2R0ucq2oixyd","email",1
"359","R_1DuHV0VogZgKTOl","email",1
"360","R_33jwcvNqJRfPNty","email",1
"361","R_1cUDUi7Dxb9YR7R","email",1
"362","R_2zdzA6VlBtWING8","email",1
"363","R_1nPhsOSPDgCzgh6","email",1
"364","R_3njCPcgrh12xuNw","email",0
"365","R_2PgLvCThbmlFsIr","email",1
"366","R_8ib3wZsjCyiZMzv","email",1
"367","R_WAtIRMFY2KMoXL3","email",1
"368","R_2ZEWBUc2qnhRaa6","email",0
"369","R_2A0xUgKDbrnwr1r","email",0
"370","R_1hyGmHKpnGnDiap","email",0
"371","R_wMfK2Ik3jtzSrnP","email",1
"372","R_3p3Gcrnd7WuJ0DY","email",1
"373","R_3314ItInwb829md","email",1
"374","R_3hA56B82RpMX8eN","email",1
"375","R_3QXgq80PZW5yM6O","email",0
"376","R_1QlpnAdkw2LpHeC","email",1
"377","R_1exZLDs8oCNSpIM","email",1
"378","R_3fCS4JprvxNDAK6","email",1
"379","R_1jqd8tWAkg73k16","email",1
"380","R_3MiCK8tRsw0V8ir","email",0
"381","R_27rFtLibSiFEIVR","email",1
"382","R_3Rykt7hRcZVWv3e","email",1
"383","R_C1di4VFON4I7OSJ","email",1
"384","R_3QRE6Tw3DWAtm56","email",0
"385","R_2ByucnPpjfx6x8E","email",1
"386","R_vYtXv3CTFjDbPxf","email",1
"387","R_8iSofOu6WQVuSbL","email",1
"388","R_2PhPB9R377VGuQj","email",0
"389","R_31KuxfPmslgndZ0","email",1
"390","R_RCtEvyRIhEnQbW9","email",1
"391","R_3qg68ViG7vnYipm","email",1
"392","R_3NCjzFiF0JK2GqL","email",1
"393","R_T7q6MgHUwdup2Ex","email",0
"394","R_TdgisIgBfROVuwx","email",1
"395","R_2bIQ1TN6IeWvnkP","email",1
"396","R_2Cmrh1Njuk9TKK2","email",1
"397","R_2TBlvgMGsQ8YLxX","email",1
"398","R_BWI2tr4re5G9yp3","email",1
"399","R_3PXo429RzNXqibr","email",1
"400","R_1Ic3tDcTLwrXWp7","email",1
"401","R_O0Bo2mNm3iOdfEJ","email",1
"402","R_3n9hYgeRFmMhfpO","email",1
"403","R_x3k1qr68EmjFvUt","email",0
"404","R_XupexIguaPw9ocN","email",1
"405","R_3Kx5tsjFi6RIqB3","email",0
"406","R_ZmWgQLngjFiOwaR","email",0
"407","R_1mW6KZ42igeLXGS","email",0
"408","R_DTuLKbjCvuhWOdz","email",1
"409","R_3IbpMtbwGyVxpGg","email",1
"410","R_1opTCOOpsI4AcCd","email",0
"411","R_2EhMbBl3fWHUkFh","email",0
"412","R_2zZ3ixid2sVrgzr","email",1
"413","R_2f2nuC87mnJja0X","email",1
"414","R_3rZN9sb2Y6YiX8k","email",1
"415","R_1in9Hr8KDzRc6dc","email",0
"416","R_2qDhEzrUCPZT8TO","email",1
"417","R_RlgFJ3AuHQqSR1f","email",1
"418","R_qwvkXru4VyxMpCF","email",1
"419","R_2EiVbozpWaQF6TS","email",0
"420","R_23uNXL1lEuiK2IN","email",0
"421","R_yvZyF9pWs7UPzjz","email",0
"422","R_2TUaPjFshRv47Ui","email",1
"423","R_2QhdcqlCf7KqdFR","email",1
"424","R_3MsNjm1CLc8laF0","email",1
"425","R_T2h0RVB5sxDFWsp","email",1
"426","R_3iVvIsisZSGYhIz","email",1
"427","R_djqlb78tkCyuPPX","email",0
"428","R_1r6cCPsp91fLiYl","email",1
"429","R_pLcVPPE5yXMsTQt","email",1
"430","R_2EgAiQnt6PBcXmJ","email",0
"431","R_2aA1itN9JcQO9Tj","email",1
"432","R_2qDgbsOTMVr6FmZ","email",1
"433","R_1rpOYotxCL2eEuM","email",1
"434","R_3FXz56E0LAJcLJT","email",0
"435","R_3PB68V4Xa59fSDh","email",0
"436","R_eLGGXP9DFZ9jPPj","email",1
"437","R_1hZiHX8a51KTXgi","email",0
"438","R_3lPxl0yHrv7prVf","email",0
"439","R_3kmMsRjMzB99jMc","email",1
"440","R_3qJXNwqWbvNYLCl","email",0
"441","R_5cYBBdkGBpSZhHb","email",1
"442","R_21aBiltLc8RJV2A","email",0
"443","R_25BICYEJFusrT9Q","email",1
"444","R_PIKvX9sP7q71oY1","email",1
"445","R_ZmAuvZPlDPp9j7H","email",1
"446","R_3fMG9MCYkLbaEg5","email",1
"447","R_yEGQFC8j3jtPhNn","email",1
"448","R_2wh2IyOZ4reLVhV","email",1
"449","R_1rePEBCPJfLUcfr","email",1
"450","R_aUULXHSBsE23KW5","email",0
"451","R_0v97gnB46xEb52V","email",1
"452","R_29hn0zvsbgM4g64","email",0
"453","R_3Oi8DOTeBaMqdPS","email",1
"454","R_2aKS5eBvnO4Ugxl","email",1
"455","R_1r1jm16boPWgWJw","email",1
"456","R_3rNCm8PdpcAJjJT","email",1
"457","R_3e2MekjCpI3vUkr","email",0
"458","R_3szAKE07VpanNAX","email",1
"459","R_2wmZtzWju75IKdn","email",0
"460","R_20UkzB92r9Shkui","email",0
"461","R_3qkhbo6AOM9D5pr","email",1
"462","R_9nIoVPwaYK75cvn","email",0
"463","R_2WM6PqRcNcaDt85","email",1
"464","R_1o72sAbrsAOwZlB","email",1
"465","R_3MJWp7ksEq6kZJ6","email",1
"466","R_DxgQt7YAm311VCh","email",1
"467","R_CfwWridUHT6Gelj","email",1
"468","R_uxjh7k2pYqApS37","email",0
"469","R_1OVTDt73rUhORrg","email",0
"470","R_DIFP7KouN95Ngd3","email",1
"471","R_3hihEW9ayLyUdhm","email",1
"472","R_3dG4gphhI2l4Ynb","email",1
"473","R_2af6jLeWGUBvJhh","email",1
"474","R_1cS8MsCEDJx4IzC","email",1
"475","R_pyfZa2qmvEQOdjj","email",1
"476","R_AajpMrB91ofvKoh","email",0
"477","R_BJT05TIIdvxmFc5","email",0
"478","R_ypYVSwUQBEXklzP","email",0
"479","R_1oi2ttTsZLuWrLO","email",1
"480","R_27ppdh7OOsxFEfR","email",0
"481","R_3OqvwpcqDC2CB2K","email",1
"482","R_1gHfS5ItwkJ39rz","email",1
"483","R_3iVTgBqxutxHsJb","email",1
"484","R_2Vkme7yQxB4hnPV","email",0
"485","R_54MIBcR2U5wbLvb","email",1
"486","R_1jr0O4xejQw21az","email",1
"487","R_2rCp3pfj95RtQUl","email",1
"488","R_25Z2PQxXTE7mFyB","email",1
"489","R_Y3KHl41GS2tPLl7","email",1
"490","R_1eQ0rtDHTdKvzyF","email",1
"491","R_sYTtXOpe7oNvjxL","email",1
"492","R_ugnwsSUAzI7Ll3b","email",1
"493","R_3hovUejj50eBYyD","email",0
"494","R_27cUDN8wG5LlvKs","email",0
"495","R_3IQ9YEW6PevF9mD","email",1
"496","R_2uI3kZ6jEGIaL0l","email",0
"497","R_3fTXVXl2pnqCnUf","email",1
"498","R_2frZSW63UrdikTI","email",1
"499","R_1QH027RHAFCTuZP","email",0
"500","R_28TeFpJUUycMYcZ","email",1
"501","R_1Fy8wduWntavLjo","email",1
"502","R_1gjrlK0tnkTgV5P","email",1
"503","R_vYRez75jRA2mjOV","email",1
"504","R_2dGv6XMluUc6dJh","email",0
"505","R_339HIzw9aqJeaOJ","email",1
"506","R_3NwGOwnMNVNkBRQ","email",1
"507","R_Zn68jz78unq9dh7","email",1
"508","R_3CQp29zpO9DPeh7","email",0
"509","R_2zvFkfKfPWm0NRr","email",0
"510","R_1i5ye44le3y7EqS","email",1
"511","R_1g6lewwpLGC4bTd","email",1
"512","R_1LogH1nuUDXVEk1","email",0
"513","R_3CPi5JzPHCG5DaK","email",0
"514","R_2aQ90Ft13C3dUCk","email",1
"515","R_eG0W4joqWve4oPT","email",1
"516","R_32WSh8008l2VJvD","email",1
"517","R_AGVbd159nAPkAXD","email",0
"518","R_9yvX2hU3xm8sLoB","email",1
"519","R_1LSj0aTEYWiLupD","email",1
"520","R_2fqcIW1WTtDhnl7","email",0
"521","R_2PhwxFWayl14SRs","email",1
"522","R_3ewBJoYiMsM7GEi","email",0
"523","R_2PnGzdBGb7uzzFt","email",1
"524","R_1BQ7d0lZZW8UF5J","email",1
"525","R_1oiIzJZdlo9NZz9","email",0
"526","R_3nMI7wEV5uz9A0O","email",1
"527","R_0pT6XLgISuPCscV","email",1
"528","R_2cezBmKOu4pVtlu","email",1
"529","R_2YMyugt3jqsgNNz","email",1
"530","R_2Spj65ojJpL5BMD","email",1
"531","R_AsRSiV7xA4dO9gd","email",1
"532","R_2fIKwcLh9ruHcNn","email",0
"533","R_3NEUACyjoJ3yFDo","email",1
"534","R_301RVzapLMF6gPd","email",1
"535","R_1CDEfk5NinCoduf","email",1
"536","R_21cXF9xgYdSYjkh","email",1
